# proj, module, fic_sha, # tests selected (normal), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (ekstazi), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_E), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal
ktuukkan/marine-api,.,b4afeed,693.60000000000000000000,100.00,17.71440000000000000000,0.00,17.71440000000000000000,100.00,136.00000000000000000000,19.52634341003346211567,6.87900000000000000000,.05460000000000000000,6.82440000000000000000,38.83183519644290308469,212.80000000000000000000,30.66391510708014850483,11.34700000000000000000,.07120000000000000000,11.27580000000000000000,64.16245268685757941666
openpojo/openpojo,.,2ab65a5,1156.20000000000000000000,100.00,337.95460000000000000000,0.00,337.95460000000000000000,100.00,403.40000000000000000000,34.89559563720754965262,303.57400000000000000000,.05940000000000000000,303.51460000000000000000,89.82513618244656296928,1127.40000000000000000000,97.50918884000801500121,337.14780000000000000000,.12220000000000000000,337.02560000000000000000,99.76062759472044085408
openpojo/openpojo,.,4d69e2c,1117.60000000000000000000,100.00,323.45880000000000000000,0.00,323.45880000000000000000,100.00,738.00000000000000000000,66.00645096943548780706,250.66200000000000000000,.05840000000000000000,250.60360000000000000000,77.39120148192920131387,877.60000000000000000000,78.49909279035243800456,257.34960000000000000000,.10620000000000000000,257.24340000000000000000,79.45929912836605423996
openpojo/openpojo,.,92186a6,1052.40000000000000000000,100.00,48.74940000000000000000,0.00,48.74940000000000000000,100.00,40.00000000000000000000,3.79878211556915173771,11.84020000000000000000,.01340000000000000000,11.82680000000000000000,24.41642585027425943319,1024.40000000000000000000,97.33941313554736257313,47.40100000000000000000,.08540000000000000000,47.31560000000000000000,97.35249154572694813194
openpojo/openpojo,.,a22bb1c,1124.00000000000000000000,100.00,330.58040000000000000000,0.00,330.58040000000000000000,100.00,425.60000000000000000000,37.93007278283454348854,299.98800000000000000000,.01300000000000000000,299.97500000000000000000,90.82940002447535834019,1096.00000000000000000000,97.50886840267005041767,322.00820000000000000000,.08720000000000000000,321.92100000000000000000,97.49881200172932281558
querydsl/querydsl,querydsl-hibernate-search,2c195ff,13.00000000000000000000,100.00,27.19560000000000000000,0.00,27.19560000000000000000,100.00,10.40000000000000000000,80.00000000000000000000,21.65660000000000000000,.08400000000000000000,21.57260000000000000000,80.04457789597901791782,10.40000000000000000000,80.00000000000000000000,22.17040000000000000000,.09860000000000000000,22.07180000000000000000,82.08307901417101760101
tbsalling/aismessages,.,12864f8,19.80000000000000000000,100.00,5.13420000000000000000,0.00,5.13420000000000000000,100.00,15.80000000000000000000,80.00000000000000000000,3.93960000000000000000,.05380000000000000000,3.88580000000000000000,76.81626384891288872990,15.80000000000000000000,80.00000000000000000000,3.90340000000000000000,.05920000000000000000,3.84420000000000000000,76.10890478001502232761
wikidata/wikidata-toolkit,wdtk-dumpfiles,f7cb408,62.20000000000000000000,100.00,31.72160000000000000000,0.00,31.72160000000000000000,100.00,14.80000000000000000000,22.93877917904614233868,9.04800000000000000000,.01060000000000000000,9.03740000000000000000,29.23920557223460728601,45.20000000000000000000,72.62184855065833931239,31.94280000000000000000,.01760000000000000000,31.92520000000000000000,100.50890778193470500207
wikidata/wikidata-toolkit,wdtk-util,539f522,11.60000000000000000000,100.00,9.02060000000000000000,0.00,9.02060000000000000000,100.00,3.40000000000000000000,20.70707070707070707070,2.75180000000000000000,.01160000000000000000,2.74020000000000000000,29.07077951719947192033,3.40000000000000000000,20.70707070707070707070,2.71680000000000000000,.01260000000000000000,2.70420000000000000000,28.70622559179716013946
wildfly/wildfly,naming,c22e231,82.00000000000000000000,100.00,19.18680000000000000000,0.00,19.18680000000000000000,100.00,82.00000000000000000000,100.00000000000000000000,19.24420000000000000000,.29540000000000000000,18.94880000000000000000,100.30453014250422252325,82.00000000000000000000,100.00000000000000000000,19.12460000000000000000,.29360000000000000000,18.83100000000000000000,99.67912003381603104615
zalando/riptide,riptide-spring-boot-starter,0844206,55.00000000000000000000,100.00,93.53600000000000000000,0.00,93.53600000000000000000,100.00,30.00000000000000000000,55.69548872180451127819,78.96860000000000000000,.09120000000000000000,78.87740000000000000000,84.52560927161825170731,44.80000000000000000000,81.88596491228070175438,95.69620000000000000000,.11880000000000000000,95.57740000000000000000,102.29445013910647489940
Overall-1,27,10297.871,40343,100.00,76.35669444444444444444,0,76.35669444444444444444,100.00,12607,31.24953523535681530872,49.36786296296296296296,,,64.65426944179989554385,29471,73.05108692957886126465,59.73932407407407407407,,,78.23717947551956139575
Overall-2,27,,298.90000000000000000000,100.00,76.35669444444444444444,0,76.35669444444444444444,100.00,93.42222222222222222222,41.73345015096166805894,49.36786296296296296296,,,53.32959760540787929371,218.34074074074074074074,65.36236066289369565724,59.73932407407407407407,,,68.42049106911609838355
