# proj, module, test, # tests selected (normal), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (ekstazi), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_E), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testBasicListenerWithUnexpectedMessage,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testConstructor,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListenerDefaultConstructorThrows,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListener,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testOnMessageWithExpectedMessage,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testParametrizedConstructor,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testSequenceListener,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testSequenceListenerWithIncorrectOrder,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testSequenceListenerWithMixedOrder,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreate,707,100.00,Y,Y,17.949,0.00,17.949,100.00,3,.42,N,N,4.505,0.056,4.449,25.09,147,20.79,Y,N,12.276,0.061,12.215,68.39
ktuukkan/marine-api,.,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreateWithIncorrectOrder,707,100.00,Y,Y,17.949,0.00,17.949,100.00,3,.42,N,N,4.505,0.056,4.449,25.09,147,20.79,Y,N,12.276,0.061,12.215,68.39
ktuukkan/marine-api,.,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreateWithTwo,707,100.00,Y,Y,17.949,0.00,17.949,100.00,3,.42,N,N,4.505,0.056,4.449,25.09,147,20.79,Y,N,12.276,0.061,12.215,68.39
openpojo/openpojo,.,com.openpojo.issues.issue112.IssueTest.shouldNotFail,1124,100.00,Y,Y,324.374,0.00,324.374,100.00,1050,93.41,Y,Y,333.691,0.013,333.678,102.87,1096,97.50,Y,Y,322.836,0.091,322.745,99.52
openpojo/openpojo,.,com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,1156,100.00,Y,Y,337.96,0.00,337.96,100.00,23,1.98,N,N,290.383,0.013,290.37,85.92,1120,96.88,Y,Y,336.449,0.089,336.36,99.55
openpojo/openpojo,.,com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,1130,100.00,Y,N,324.308,0.00,324.308,100.00,81,7.16,N,N,301.203,0.014,301.189,92.87,1102,97.52,Y,Y,320.991,0.087,320.904,98.97
openpojo/openpojo,.,com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,1130,100.00,Y,Y,324.308,0.00,324.308,100.00,81,7.16,N,N,301.203,0.014,301.189,92.87,1102,97.52,Y,Y,320.991,0.087,320.904,98.97
openpojo/openpojo,.,com.openpojo.validation.utils.ValidationHelperTest.shouldReportMissingASMProperly,1054,100.00,Y,Y,49.279,0.00,49.279,100.00,97,9.20,N,N,24.354,0.014,24.34,49.42,1026,97.34,Y,Y,48.276,0.084,48.192,97.96
querydsl/querydsl,querydsl-hibernate-search,com.querydsl.hibernate.search.SearchQueryTest.singleResult,13,100.00,Y,Y,25.066,0.00,25.066,100.00,13,100.00,Y,Y,25.189,0.088,25.101,100.49,13,100.00,Y,Y,27.523,0.115,27.408,109.80
tbsalling/aismessages,.,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleFragmentedMessageReceived,19,100.00,Y,Y,5.111,0.00,5.111,100.00,19,100.00,Y,Y,4.815,0.008,4.807,94.20,19,100.00,Y,Y,4.789,0.017,4.772,93.69
tbsalling/aismessages,.,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleUnfragmentedMessageReceived,19,100.00,Y,Y,5.111,0.00,5.111,100.00,19,100.00,Y,Y,4.815,0.008,4.807,94.20,19,100.00,Y,Y,4.789,0.017,4.772,93.69
wikidata/wikidata-toolkit,wdtk-dumpfiles,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwDailyDumpFileProcessing,66,100.00,Y,Y,30.127,0.00,30.127,100.00,49,74.24,Y,Y,25.981,0.011,25.97,86.23,49,74.24,Y,Y,25.814,0.03,25.784,85.68
wikidata/wikidata-toolkit,wdtk-dumpfiles,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwMostRecentFullDumpFileProcessing,66,100.00,Y,Y,30.127,0.00,30.127,100.00,49,74.24,Y,Y,25.981,0.011,25.97,86.23,49,74.24,Y,Y,25.814,0.03,25.784,85.68
wikidata/wikidata-toolkit,wdtk-dumpfiles,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwRecentCurrentDumpFileProcessing,66,100.00,Y,Y,30.127,0.00,30.127,100.00,49,74.24,Y,Y,25.981,0.011,25.97,86.23,49,74.24,Y,Y,25.814,0.03,25.784,85.68
wikidata/wikidata-toolkit,wdtk-util,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDefaultDirectoryManagerPath,22,100.00,Y,Y,9.705,0.00,9.705,100.00,13,59.09,Y,Y,4.566,0.013,4.553,47.04,13,59.09,Y,Y,4.445,0.015,4.43,45.80
wikidata/wikidata-toolkit,wdtk-util,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDirectoryManagerIoException,22,100.00,Y,Y,9.705,0.00,9.705,100.00,13,59.09,Y,Y,4.566,0.013,4.553,47.04,13,59.09,Y,Y,4.445,0.015,4.43,45.80
