# proj, module, fic_sha, # tests selected (normal), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (starts), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_S), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal
apache/incubator-dubbo,dubbo-cluster,fcd1af8,108.00000000000000000000,100.00,55.05320000000000000000,0.00,55.05320000000000000000,100.00,99.40000000000000000000,91.96261682242990654205,52.85440000000000000000,.00160000000000000000,52.85280000000000000000,96.03764721153156728852,108.00000000000000000000,100.00000000000000000000,54.14860000000000000000,.03160000000000000000,54.11700000000000000000,98.39759382779514683340
apache/incubator-dubbo,dubbo-common,3c6201c,287.20000000000000000000,100.00,142.58300000000000000000,0.00,142.58300000000000000000,100.00,10.60000000000000000000,3.68040585594177107333,40.41800000000000000000,.00080000000000000000,40.41720000000000000000,26.87179800904894228627,142.20000000000000000000,49.90099370583993477925,104.69860000000000000000,.00940000000000000000,104.68920000000000000000,75.01890912400490839895
apache/incubator-dubbo,dubbo-config/dubbo-config-api,46c6ccb,35.00000000000000000000,100.00,54.57820000000000000000,0.00,54.57820000000000000000,100.00,21.20000000000000000000,40.00000000000000000000,21.53040000000000000000,.00120000000000000000,21.52920000000000000000,39.69599362901885611617,21.20000000000000000000,40.00000000000000000000,21.63880000000000000000,.02140000000000000000,21.61740000000000000000,39.89756220591412009103
apache/incubator-dubbo,dubbo-config/dubbo-config-spring,5f5fecd,62.40000000000000000000,100.00,61.86520000000000000000,0.00,61.86520000000000000000,100.00,30.20000000000000000000,47.78274548766352045040,55.50120000000000000000,.00040000000000000000,55.50080000000000000000,62.75621015235277233940,36.80000000000000000000,58.10328105410072623187,51.83860000000000000000,.02480000000000000000,51.81380000000000000000,61.19842726816262812550
apache/incubator-dubbo,dubbo-filter/dubbo-filter-cache,9f7306f,2.80000000000000000000,100.00,12.44480000000000000000,0.00,12.44480000000000000000,100.00,2.40000000000000000000,80.00000000000000000000,10.94060000000000000000,.00120000000000000000,10.93940000000000000000,77.55077575013834510902,2.40000000000000000000,80.00000000000000000000,11.13420000000000000000,.01320000000000000000,11.12100000000000000000,77.67965658325141461071
apache/incubator-dubbo,dubbo-rpc/dubbo-rpc-api,b055991,52.80000000000000000000,100.00,49.33880000000000000000,0.00,49.33880000000000000000,100.00,23.40000000000000000000,39.33333333333333333332,17.68000000000000000000,.00100000000000000000,17.67900000000000000000,32.86813434185884723822,46.00000000000000000000,77.63841807909604519773,31.31200000000000000000,.02080000000000000000,31.29120000000000000000,58.21293280433768888700
apache/incubator-dubbo,dubbo-serialization/dubbo-serialization-fst,6784375,61.80000000000000000000,100.00,6.02380000000000000000,0.00,6.02380000000000000000,100.00,33.00000000000000000000,60.00000000000000000000,3.59280000000000000000,.00140000000000000000,3.59140000000000000000,57.42187824395662118143,33.00000000000000000000,60.00000000000000000000,3.60520000000000000000,.01300000000000000000,3.59220000000000000000,57.53545469383890836798
ctco/cukes,cukes-http,216a5da,8.50000000000000000000,100.00,10.28275000000000000000,0.00,10.28275000000000000000,100.00,5.00000000000000000000,50.00000000000000000000,5.69400000000000000000,.00150000000000000000,5.69250000000000000000,48.22777885859531403029,5.00000000000000000000,50.00000000000000000000,5.69300000000000000000,.00525000000000000000,5.68775000000000000000,48.12253935136546907798
dropwizard/dropwizard,dropwizard-logging,416bdaa,74.40000000000000000000,100.00,36.59640000000000000000,0.00,36.59640000000000000000,100.00,38.80000000000000000000,52.34384337124063151460,28.31240000000000000000,.00140000000000000000,28.31100000000000000000,71.63752717914961320752,50.00000000000000000000,66.88263791003517030914,30.22280000000000000000,.03560000000000000000,30.18720000000000000000,75.73208888563047317442
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,7e2505b,309.20000000000000000000,100.00,82.36920000000000000000,0.00,82.36920000000000000000,100.00,194.80000000000000000000,62.98319311007021727565,29.62980000000000000000,.00180000000000000000,29.62800000000000000000,36.06421352823473025209,274.00000000000000000000,88.61093109291763203338,29.83420000000000000000,.03320000000000000000,29.80100000000000000000,36.30736881290986702836
